hs6,base_exports,base_imports,v25_exports,v25_imports,import_change25,export_change25,us_tariff_2019,us_tariff_2020,trump1_hit
251990,2920989,138545087,1060739,144923717,0.046040102454156316,-0.6368562154804417,0,0,FALSE
252520,485440,3154029,498837,2390408,-0.2421096952501071,NA,25,25,TRUE
252610,3371922.333333333,6600021.333333333,1044928,11710695,0.7743419920258845,-0.6901091138220167,0,0,FALSE
252620,9691939.666666666,5611779.666666667,4417378,9773618,0.741625398811393,-0.5442214714570894,0,0,FALSE
252921,0,4916239.666666667,0,4912873,-6.848052363056704e-4,NA,0,0,FALSE
252922,6520,27281233.333333332,0,3382634,-0.8760087581573169,NA,0,0,FALSE
253010,17109,1849980.6666666665,0,289466,-0.8435302567125926,NA,25,25,TRUE
253090,4572937.333333333,15027858.666666666,4426222,1611966,-0.8927348176639759,-0.032083390311056025,16.666666507720947,16.666666507720947,TRUE
260600,61492.666666666664,33218768.666666668,0,17667936,-0.4681339282232677,NA,0,0,FALSE
261100,23554.5,1699316.6666666667,0,406596,-0.7607297050775311,NA,0,0,FALSE
261390,27236033.333333332,2165438.666666667,49360780,10200,-0.9952896380040626,0.8123336609222342,0,0,FALSE
261800,0,46693378.333333336,0,44876409,-0.03891278374339093,NA,25,25,TRUE
262190,13932.5,5675518.666666667,0,4859178,-0.1438354297839211,NA,25,25,TRUE
270111,19534.333333333332,19698040.666666668,11168,7581013,-0.6151387273339978,NA,25,25,TRUE
270400,801118,1281638.3333333335,63116,2232838,0.7421747945013086,NA,0,0,FALSE
270799,3506560.3333333335,1562472.3333333333,3202431,82984,-0.9468892995865313,-0.08673152731532452,23,21.5,TRUE
271012,140536401,160837611.33333334,375964875,33420525,-0.7922095166488359,1.6752134843697897,25,25,TRUE
271019,97777204,13435008,55409578,33598111,1.5007883136355409,-0.43330780863809526,25.00000047683716,25.00000047683716,TRUE
271112,2971071051.3333335,1395208.3333333333,2933590965,1103761,-0.20889162311482748,-0.012615008421462516,25,25,TRUE
271220,3619512.3333333335,104531818.66666667,6699651,41896359,-0.5991999418511983,0.8509816746031256,15,7.5,TRUE
271290,6687476.666666667,3485904.6666666665,5823008,3705636,0.06303423482416907,-0.1292667937034547,25,25,TRUE
280130,2895552.6666666665,1569920.6666666667,1448062,596985,-0.6197355620092905,-0.4999013429560597,25,25,TRUE
280300,28903631.333333332,17945781.666666668,24101863,6717536,-0.6256760432744223,-0.16613027885515744,25,25,TRUE
280429,31238706.333333332,16836563,8455721,6327555,-0.6241777493423094,-0.7293191046462348,25,25,TRUE
280461,66209149,13698915.666666666,35963500,1946634,-0.8578986799125488,-0.45681978180991273,25,25,TRUE
