hs6,chn_reta_2019,n_hs8
330710,20.0,1
330720,20.0,1
330730,20.0,1
330741,20.0,1
330749,20.0,1
330790,20.0,1
340111,25.0,1
340119,22.5,2
340120,25.0,1
340130,10.0,1
340211,5.0,1
340212,5.0,1
340213,25.0,1
340219,10.0,1
340220,15.0,2
340290,10.0,1
340311,20.0,1
340319,25.0,1
340391,25.0,1
340399,25.0,1
340420,5.0,1
340490,10.0,1
340510,20.0,1
340520,10.0,1
340530,10.0,1
340540,10.0,1
340590,10.0,1
340600,5.0,1
340700,18.333333333333332,3
350110,25.0,1
350190,20.0,1
350211,5.0,1
350220,5.0,1
350290,20.0,1
350300,5.0,1
350400,7.5,2
350510,10.0,1
350520,10.0,1
350610,10.0,1
350691,15.0,3
350699,10.0,1
350790,8.333333333333334,3
360100,5.0,1
360300,10.0,1
360410,5.0,1
360490,5.0,1
360610,5.0,1
360690,5.0,1
370110,10.0,1
370120,25.0,1
370130,17.0,5
370191,20.0,1
370199,15.0,2
370210,25.0,1
370231,5.0,1
370232,5.0,1
370239,5.0,2
370242,25.0,4
370243,7.5,2
370244,25.0,3
370252,5.0,1
370254,5.0,1
370255,5.0,1
370256,5.0,2
370296,5.0,1
370297,5.0,1
370310,5.0,1
370320,10.0,1
370390,10.0,1
370400,5.0,1
370500,5.0,3
370610,5.0,2
370790,21.666666666666668,3
380110,10.0,1
380120,5.0,1
380130,10.0,1
380190,17.5,2
380210,12.5,2
380290,5.0,1
380300,5.0,1
380400,10.0,1
380510,25.0,1
380590,25.0,2
380610,25.0,1
380620,5.0,2
380630,5.0,1
380690,10.0,1
380700,5.0,1
380869,25.0,1
380891,15.0,2
380892,22.5,2
380893,12.5,4
380894,10.0,1
380899,5.0,1
380910,25.0,1
380991,20.0,1
380992,5.0,1
380993,20.0,1
381010,20.0,1
381090,10.0,1
381119,10.0,1
381121,5.0,1
381190,5.0,1
381210,20.0,1
381220,10.0,1
381231,25.0,1
381239,10.0,2
381300,5.0,2
381400,10.0,1
381511,5.0,1
381600,10.0,1
381700,25.0,1
381800,16.666666666666668,3
381900,10.0,1
382000,10.0,1
382100,5.0,1
382311,25.0,1
382312,25.0,1
382313,5.0,1
382319,25.0,1
382370,25.0,1
382410,10.0,1
382430,5.0,1
382440,17.5,2
382450,20.0,1
382460,10.0,1
382471,5.0,1
382475,5.0,1
382476,25.0,1
382478,20.0,1
382479,25.0,1
382481,25.0,1
382499,18.333333333333332,3
382590,25.0,1
382600,25.0,1
390120,25.0,1
390130,25.0,1
390140,25.0,2
390190,25.0,1
390210,25.0,1
390220,25.0,1
390230,25.0,2
390290,10.0,1
390311,5.0,1
390319,25.0,2
390320,25.0,1
390330,25.0,2
390390,10.0,1
390410,25.0,1
