sector,year,exports,imports,base_imports,base_exports,base_total,total_trade,trade_change,trade_asymmetry
10,2018,688845363,31815458,10212827.666666666,1703126534.6666667,1713339362.3333333,720660821,-0.5793823238739121,21.651279167504047
10,2019,305471153,24778325,10212827.666666666,1703126534.6666667,1713339362.3333333,330249478,-0.8072480646506331,12.328159913957057
10,2020,2931432337,26519607,10212827.666666666,1703126534.6666667,1713339362.3333333,2957951944,0.7264250206518778,110.53830235870389
10,2021,7768771305,26324525,10212827.666666666,1703126534.6666667,1713339362.3333333,7795095830,3.5496508172112202,295.11534605087843
11,2015,19313502,60884719,55590923,14041605.333333334,69632528.33333333,80198221,0.15173501407400194,0.3172142750630088
11,2016,13073822,55982416,55590923,14041605.333333334,69632528.33333333,69056238,-0.008276165566969026,0.23353443695606135
11,2017,9737492,49905634,55590923,14041605.333333334,69632528.33333333,59643126,-0.1434588485070327,0.19511809027413618
11,2018,8164591,67539850,55590923,14041605.333333334,69632528.33333333,75704441,0.08719937092618862,0.12088553646476857
11,2019,7971042,44577794,55590923,14041605.333333334,69632528.33333333,52548836,-0.24534068692081812,0.17881194390193467
11,2020,6739217,55362409,55590923,14041605.333333334,69632528.33333333,62101626,-0.1081520736584867,0.12172911406366005
11,2021,6738418,55422642,55590923,14041605.333333334,69632528.33333333,62161060,-0.10729853578728536,0.12158240309078013
12,2015,11090906417,359195249,311745179.6666667,12945618207.666666,13257363387.333334,11450101666,-0.13632135354003128,30.877096642778813
12,2016,14905440246,303307056,311745179.6666667,12945618207.666666,13257363387.333334,15208747302,0.14719245883620447,49.143071191855164
12,2017,12840507960,272733234,311745179.6666667,12945618207.666666,13257363387.333334,13113241194,-0.010871105296173342,47.08083342714295
12,2018,3665190511,293999115,311745179.6666667,12945618207.666666,13257363387.333334,3959189626,-0.7013591986335094,12.466671918383156
12,2019,8541199407,153745958,311745179.6666667,12945618207.666666,13257363387.333334,8694945365,-0.3441421864239211,55.553976950730636
12,2020,15030173341,169700211,311745179.6666667,12945618207.666666,13257363387.333334,15199873552,0.14652311382839708,88.56897261606822
12,2021,15040948583,190498821,311745179.6666667,12945618207.666666,13257363387.333334,15231447404,0.14890472252972958,78.95559932625515
13,2015,50078031,242039060,245240055,44808223.666666664,290048278.6666667,292117091,0.0071326482020286795,0.20690061761105832
13,2016,45281448,254281096,245240055,44808223.666666664,290048278.6666667,299562544,0.03280235061924787,0.17807634429890926
13,2017,39065192,239400009,245240055,44808223.666666664,290048278.6666667,278465201,-0.039934998821276754,0.16317957615448545
13,2018,46128879,266559158,245240055,44808223.666666664,290048278.6666667,312688037,0.078055137708132,0.17305306389060549
13,2019,36895255,283267109,245240055,44808223.666666664,290048278.6666667,320162364,0.10382438906986736,0.13024899053846736
