hs6,year,exports,imports,base_imports,base_exports,import_change,export_change,hs2
020890,2017,362383,12616628,15818939.333333334,120794.33333333334,-0.20243527494826985,1.9999999999999998,02
020890,2018,5420,13445951,15818939.333333334,120794.33333333334,-0.1500093200517574,-0.9551303455184156,02
020890,2019,53488,7105965,15818939.333333334,120794.33333333334,-0.550793839570112,-0.5571977714186372,02
020890,2020,0,4109249,15818939.333333334,120794.33333333334,-0.7402323307896455,-1,02
020890,2021,11731,6171070,15818939.333333334,120794.33333333334,-0.6098935668211046,-0.9028845172096925,02
020910,2015,782539,0,0,2351294.6666666665,NA,-0.6671880342801214,02
020910,2016,5527100,0,0,2351294.6666666665,NA,1.350662415202745,02
020910,2017,744245,0,0,2351294.6666666665,NA,-0.6834743809226236,02
020910,2018,2621,0,0,2351294.6666666665,NA,-0.9988852949665744,02
020910,2019,750441,0,0,2351294.6666666665,NA,-0.6808392369367003,02
020910,2020,2087382,0,0,2351294.6666666665,NA,-0.11224142614196655,02
020910,2021,10497487,0,0,2351294.6666666665,NA,3.464556122556028,02
021011,2017,526297,0,0,526297,NA,0,02
021011,2018,726157,0,0,526297,NA,0.37974755698778445,02
021011,2020,707857,0,0,526297,NA,0.34497631565446885,02
021011,2021,267909,0,0,526297,NA,-0.49095472708375687,02
021012,2018,13193,0,NA,NA,NA,NA,02
021012,2020,90537,0,NA,NA,NA,NA,02
021019,2016,55415,10127,10127,55415,0,0,02
021019,2018,39052,0,10127,55415,-1,-0.2952810610845439,02
021019,2020,58768,0,10127,55415,-1,0.06050708291978706,02
021019,2021,0,22580,10127,55415,1.229683025575195,-1,02
021020,2016,4201,0,0,4201,NA,0,02
021020,2021,348840,0,0,4201,NA,82.0373720542728,02
021099,2017,28125,0,0,28125,NA,0,02
021099,2021,617742,0,0,28125,NA,20.96416,02
030111,2015,58554,1209979,1711760.6666666667,180220.33333333334,-0.2931377478393592,-0.6750977044765574,03
030111,2016,87129,1777884,1711760.6666666667,180220.33333333334,0.038628842583523115,-0.5165417886623966,03
030111,2017,394978,2147419,1711760.6666666667,180220.33333333334,0.2545089052558359,1.1916394931389538,03
030111,2018,1190136,2558243,1711760.6666666667,180220.33333333334,0.4945097464949344,5.603783146925707,03
030111,2019,220221,1005333,1711760.6666666667,180220.33333333334,-0.41269067599403503,0.22195423749817347,03
030111,2020,221094,672429,1711760.6666666667,180220.33333333334,-0.6071711349055418,0.2267983079970628,03
030111,2021,376684,680640,1711760.6666666667,180220.33333333334,-0.6023743194628844,1.0901304144371426,03
030119,2015,205353,0,17621,524329.3333333334,-1,-0.6083511126594736,03
030119,2016,711650,0,17621,524329.3333333334,-1,0.35725765231521145,03
030119,2017,655985,52863,17621,524329.3333333334,2,0.2510934603442619,03
030119,2018,375175,56237,17621,524329.3333333334,2.1914760796776576,-0.2844668872235517,03
030119,2019,41889,0,17621,524329.3333333334,-1,-0.9201093714637365,03
030119,2020,10677,0,17621,524329.3333333334,-1,-0.9796368440191534,03
030192,2015,809360,0,0,662567.5,NA,0.22155101178370507,03
030192,2016,515775,0,0,662567.5,NA,-0.22155101178370507,03
030192,2019,3696,0,0,662567.5,NA,-0.9944217004305221,03
030192,2021,2520,0,0,662567.5,NA,-0.9961966139299014,03
030193,2015,4437,0,0,18100.5,NA,-0.7548686500372918,03
030193,2016,31764,0,0,18100.5,NA,0.7548686500372918,03
030195,2017,22633,0,0,22633,NA,0,03
030199,2015,338156,0,3827,259796.66666666666,-1,0.30161793197244,03
030199,2016,257163,11481,3827,259796.66666666666,2,-0.010137415158008149,03
030199,2017,184071,0,3827,259796.66666666666,-1,-0.29148051681443177,03
030199,2018,119822,20300,3827,259796.66666666666,4.304415991638359,-0.5387854604241779,03
030199,2019,495161,3300,3827,259796.66666666666,-0.13770577475829632,0.9059559399017181,03
030199,2020,246434,0,3827,259796.66666666666,-1,-0.05143509667817135,03
030199,2021,9030,0,3827,259796.66666666666,-1,-0.9652420482685177,03
030211,2017,51436,0,0,51436,NA,0,03
030213,2015,2828,81107,518641.6666666667,92384.66666666666,-0.8436164982245288,-0.9693888596231698,03
030213,2016,244770,940564,518641.6666666667,92384.66666666666,0.813514147532818,1.649465640041277,03
030213,2017,29556,534254,518641.6666666667,92384.66666666666,0.030102350691710682,-0.6800767804181068,03
030213,2018,8674,0,518641.6666666667,92384.66666666666,-1,-0.9061099605273603,03
030213,2019,96618,0,518641.6666666667,92384.66666666666,-1,0.045822899904024585,03
030213,2020,581617,0,518641.6666666667,92384.66666666666,-1,5.2956010016092145,03
030213,2021,98913,0,518641.6666666667,92384.66666666666,-1,0.0706646846157733,03
030214,2015,4080,0,0,61693,NA,-0.9338660788095894,03
030214,2016,119306,0,0,61693,NA,0.9338660788095894,03
030219,2018,16380,0,NA,NA,NA,NA,03
030221,2015,327458,0,0,327458,NA,0,03
030222,2018,2688,0,NA,NA,NA,NA,03
