hs_code,best_avlbl
281530,48.69999999999999
284443,10
290373,23.69999999999999
290511,30
290949,37.516666666666666
292112,27.5
293145,48.849999999999994
293295,30
293319,32.17666666666667
293420,40.91555555555557
293712,10
300692,20
320611,41
340510,45.93
370297,45
380690,49.19999999999999
382530,20
391690,48.1
401190,46.96666666666667
401211,48.7
450490,42.5
480442,45
510539,50.5
520919,51
540259,53
550130,49
550390,47.150000000000006
551321,34.900000000000006
551611,59.900000000000006
560121,46.599999999999994
600490,54.650000000000006
610453,39.2
611120,41.333333333333336
620453,38.56666666666667
640219,40.1
680510,45
680990,36
681182,45
681381,45
681410,47.69999999999999
681520,45
700239,44.5
720110,20
720712,85
721491,78.5
721730,86.9
730900,60.47
732599,66.17000000000002
741510,65.97000000000001
810199,25.09999999999999
811239,49
811241,36.5
811292,29.62857142857143
840999,48.6425
841459,52.70250000000001
841869,42.5
842111,45
842489,39.825
842940,48.85
843311,30.85
843359,38.35
847290,37.333333333333336
847590,42
847930,34
850490,49.9
851411,45
851590,44.475
851840,45
852352,45
853939,45.45
870390,82
871130,29.03
880623,44.5
901010,47.400000000000006
901310,39.775000000000006
902190,20
902214,27.5
903220,45
940159,45
940421,39.5
961400,28.116666666666664
970521,20
010190,22.25
010221,20
010514,20.38023731314999
010613,20
020321,20
020680,20
020830,26.40000000000001
030553,45
040390,78.30659915486571
070960,38
080521,34
100850,37.599999999999994
140110,28
150890,29.5
160250,12.083333333333336
262029,20
270119,10
290892,25.5
290960,49.9
292024,48.849999999999994
292412,48.849999999999994
292610,51.5
300331,20
300610,20
330690,45.93
380991,51.93
391610,49.80000000000001
392051,50.25
400942,44.75
401012,45.35
401212,44.45
410791,29.40000000000001
420500,45.01666666666667
440612,10
442191,33.03076923076923
480550,45
481149,44.666666666666664
481730,45
481830,45
520526,32
550630,47
550953,58.19999999999999
570241,44.75
590220,50.80000000000001
591110,47.35000000000001
600524,55
600590,51.25
610832,43.5
610839,24.3
610910,43.5
620821,35.900000000000006
621142,35.599999999999994
630260,36.099999999999994
690310,45
700529,45.932564568006
720827,60
720840,60
721041,60
722691,76.25
730539,57.94
730590,79.19
